index,count_matched,matched_0,matched_1,matched_2,matched_3,matched_4,matched_5,matched_6,matched_7,matched_8,matched_9,matched_10,matched_11,matched_12,matched_13,matched_14,matched_15,matched_16,matched_17,matched_18,matched_19,matched_20,matched_21,matched_22,matched_23,matched_24,matched_25,matched_26,matched_27,matched_28,matched_29,matched_30,matched_31,matched_32,matched_33,matched_34,matched_35,matched_36,matched_37,matched_38,matched_39,matched_40,matched_41,matched_42,matched_43,matched_44,matched_45,adjacent_0,adjacent_1,adjacent_2,adjacent_3,adjacent_4,adjacent_5,belong_0,belong_1,belong_2,belong_3,belong_4,belong_5,belong_6,belong_7,belong_8,belong_9,belong_10,belong_11,belong_12,belong_13,belong_14,belong_15,belong_16,belong_17,belong_18,belong_19,belong_20,belong_21,belong_22,belong_23,belong_24,belong_25,belong_26,belong_27,belong_28,belong_29,belong_30,belong_31,belong_32
w240884760,2.0,DEBY_LOD2_4955692_477f47d4-216a-4961-86cc-9a9698af5cc7,DEBY_LOD2_4956627_1b51ce36-5204-43f5-8347-3fb913ea174c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240286259,1.0,DEBY_LOD2_4955459_dd7c2148-b502-4a03-ad37-6c8cc442f947_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240286276,2.0,DEBY_LOD2_4956491_3c8a9138-98d6-4262-8ce7-bc70358d3a01_2,DEBY_LOD2_4955467_6e99c7fd-bd74-41e4-acb8-8188a32cd015_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4956486_07ceeead-5d42-4f37-9850-646b10d24f70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240286265,1.0,DEBY_LOD2_4956490_f925fef3-7510-4496-a4b2-254c5860775e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4956486_07ceeead-5d42-4f37-9850-646b10d24f70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240286260,1.0,DEBY_LOD2_4956488_7660d712-e1a2-433c-8751-08b9826e08eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4956486_07ceeead-5d42-4f37-9850-646b10d24f70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240286262,1.0,DEBY_LOD2_4955690_54772597-3c76-4bd5-932a-632a09ddc42e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240286264,1.0,DEBY_LOD2_4955663_b20cc6d1-2df8-4cbd-ba44-1a1d6d110544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_18272270_981b4936-10e7-42eb-bb29-818d2e3e30dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240286266,1.0,DEBY_LOD2_18272284_45de7ecb-a054-4f78-98b1-07509c5f58fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240286274,1.0,DEBY_LOD2_67330_f527af1a-a2db-4451-b14a-a7df4c9e78da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_104579431_191d16e2-ceea-46c7-9fe0-06b2ed1b7098_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240292642,1.0,DEBY_LOD2_104933415_4bf42122-8048-44f4-af6f-c37dfa62f70e_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240292643,1.0,DEBY_LOD2_4956232_6969284f-2bc4-4fd8-bce0-747b521feb3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4956231_77dbec73-0c8b-48a5-aa65-ce93f34bad80,DEBY_LOD2_4956219_b5109ab1-2574-4998-b03b-22bb02c004a1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240292646,1.0,DEBY_LOD2_4958190_53901e19-90ea-4d12-b8db-656997d3c563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240292647,1.0,DEBY_LOD2_4954981_e4e1c960-14ef-4c9a-b6bd-4da1dcfedc41_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240326544,1.0,DEBY_LOD2_8568316_21aa9656-b830-4c71-ad8a-04d7f7150c50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240326545,1.0,DEBY_LOD2_4956495_62861461-a9d9-4f43-9689-efe00df34eec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240326552,1.0,DEBY_LOD2_4955488_a37644fa-783b-4fd1-8bed-079e1bf29ebc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240326546,1.0,DEBY_LOD2_67320_c7751b17-ea12-4fff-9e5a-e212f8017178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240326561,1.0,DEBY_LOD2_4955470_5afc85aa-b15d-4496-8534-1230f44a7ee7_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
